Date,DAU,DNU,retain_rate_1
2018/10/1,18051,4049,0.3459
2018/10/2,18050,3571,0.3559
2018/10/3,18166,3322,0.3761
2018/10/4,18664,3499,0.3842
2018/10/5,19115,3322,0.3785
2018/10/6,19641,3437,0.3831
2018/10/7,19699,3193,0.3837
2018/10/8,18804,2591,0.4541
2018/10/9,19689,2963,0.4349
2018/10/10,19905,2923,0.4643
2018/10/11,20216,2715,0.457
2018/10/12,21006,2701,0.4327
2018/10/13,22045,3309,0.4281
2018/10/14,22891,3152,0.3888
2018/10/15,22312,2664,0.4346
2018/10/16,22803,2941,0.4424
2018/10/17,22536,2425,0.4421
2018/10/18,22394,2476,0.4495
2018/10/19,22825,2353,0.4474
2018/10/20,23226,2790,0.4325
2018/10/21,23171,2649,0.3842
2018/10/22,22643,2539,0.4951
2018/10/23,23147,2315,0.4635
2018/10/24,23635,2791,0.5014
2018/10/25,24671,2977,0.4983
2018/10/26,25255,3069,0.4644
2018/10/27,25210,3116,0.4148
2018/10/28,24899,2949,0.4184
2018/10/29,24074,2065,0.4478
2018/10/30,24918,2800,0.4591
2018/10/31,25340,3030,0.4826
2018/11/1,25101,2458,0.4669
2018/11/2,25531,2313,0.4661
2018/11/3,26041,2646,0.4375
2018/11/4,25928,2504,0.3913
2018/11/5,24836,1912,0.4755
2018/11/6,25036,2041,0.4546
2018/11/7,24708,2330,0.4931
2018/11/8,25118,2418,0.4811
2018/11/9,25776,2569,0.4347
2018/11/10,24653,2606,0.4056
2018/11/11,23920,2166,0.369
2018/11/12,24679,1995,0.477
2018/11/13,25941,2329,0.4722
2018/11/14,26346,2485,0.4763
2018/11/15,26230,2183,0.4599
2018/11/16,26791,2564,0.4652
2018/11/17,27345,2683,0.4047
2018/11/18,26653,2404,0.3994
2018/11/19,25276,2074,0.4746
2018/11/20,26080,2367,0.4915
2018/11/21,26361,2488,0.5105
2018/11/22,26531,2393,0.5279
2018/11/23,27210,2510,0.4728
2018/11/24,27276,2557,0.4484
2018/11/25,27306,2419,0.4556
2018/11/26,26821,2310,0.5135
2018/11/27,27427,2294,0.5094
2018/11/28,27212,2405,0.5073
2018/11/29,27634,2120,0.5021
2018/11/30,28257,2106,0.4652
2018/12/1,28424,2486,0.4314
2018/12/2,28582,2520,0.4142
2018/12/3,27010,2018,0.4965
2018/12/4,27495,2301,0.4915
2018/12/5,27127,2203,0.4946
2018/12/6,27871,2779,0.4917
2018/12/7,27776,2580,0.4754
2018/12/8,27659,2847,0.4643
2018/12/9,27402,2650,0.4466
2018/12/10,26753,2374,0.484
2018/12/11,26808,2377,0.5074
2018/12/12,25897,2182,0.5016
2018/12/13,27288,2211,0.4699
2018/12/14,27817,2110,0.4822
2018/12/15,28445,2429,0.4617
2018/12/16,27740,2295,0.4166
2018/12/17,26764,2085,0.4796
2018/12/18,27689,2277,0.4945
2018/12/19,28193,2664,0.4906
2018/12/20,28879,2782,0.5038
2018/12/21,29072,2251,0.4984
2018/12/22,28916,2340,0.4573
2018/12/23,28067,2158,0.45
2018/12/24,26098,1406,0.4908
2018/12/25,27833,2375,0.5069
2018/12/26,28300,2381,0.4899
2018/12/27,28600,2224,0.4685
2018/12/28,27889,2260,0.4867
2018/12/29,29128,2791,0.4525
2018/12/30,29630,2727,0.4349
2018/12/31,29356,2705,0.4155
2019/1/1,28885,2384,0.4123
2019/1/2,27772,2447,0.4792
2019/1/3,29067,2944,0.5007
2019/1/4,31233,3897,0.497
2019/1/5,33378,4721,0.4798
2019/1/6,32798,3774,0.4656
2019/1/7,32674,3681,0.5075
2019/1/8,33953,3602,0.4983
2019/1/9,34711,3483,0.5146
2019/1/10,43246,3757,0.5
2019/1/11,48437,3731,0.5
2019/1/12,44334,3943,0.5
2019/1/13,41068,3662,0.5
2019/1/14,38401,2908,0.467
2019/1/15,38304,3034,0.4565
2019/1/16,37236,3061,0.4463
2019/1/17,37240,2834,0.4287
2019/1/18,36914,2955,0.4254
2019/1/19,36818,3035,0.4267
2019/1/20,36080,3025,0.4122
2019/1/21,35066,3002,0.436
2019/1/22,35340,2871,0.4274
2019/1/23,35767,3166,0.4193
2019/1/24,36184,2891,0.421
2019/1/25,37126,2786,0.4121
2019/1/26,35600,2668,0.4108
2019/1/27,35245,2728,0.3963
2019/1/28,34472,2520,0.3998
2019/1/29,35026,2927,0.4001
2019/1/30,35850,3111,0.415
2019/1/31,35860,2866,0.41
2019/2/1,34724,3067,0.3916
2019/2/2,34492,2876,0.4169
2019/2/3,34650,2762,0.4098
2019/2/4,32078,2592,0.3702
2019/2/5,33719,2570,0.408
2019/2/6,34265,2806,0.3995
2019/2/7,34152,2886,0.412
2019/2/8,33749,3046,0.4235
2019/2/9,32966,2873,0.4074
2019/2/10,33188,3342,0.4336
2019/2/11,32035,2911,0.4177
2019/2/12,32020,2894,0.416
2019/2/13,32148,2890,0.4061
2019/2/14,31615,2752,0.4084
2019/2/15,32653,3053,0.4154
2019/2/16,32103,2848,0.4034
2019/2/17,31325,2719,0.4037
2019/2/18,30780,2463,0.4036
2019/2/19,31022,2350,0.4077
2019/2/20,32503,2517,0.4168
2019/2/21,36501,2496,0.4411
2019/2/22,36037,2285,0.4372
2019/2/23,35589,2380,0.4276
2019/2/24,33889,2049,0.389
