Date,DAU,DNU,retain_rate_1,Old_DAU,,,,,,,,,Old_DAU
2019/1/1,109502,109556,0.2142,,,,,,,,,,
2019/1/2,141963,118486,0.2258,,,,,,,,,,
2019/1/3,172596,130724,0.2202,,,,,,,,,,
2019/1/4,182866,123758,0.2134,,,,,,,,,,
2019/1/5,199017,129873,0.2074,,,,,,,,,,
2019/1/6,208541,126311,0.2131,,,,,,,,,,
2019/1/7,232509,138728,0.2411,,,,,,,,,,
2019/1/8,246516,135003,0.2177,,,,,,,,,,
2019/1/9,269023,147565,0.2104,,,,,,,,,,
2019/1/10,274159,141885,0.1958,,,,,,,,,,
2019/1/11,270284,136273,0.176,,,,,,,,,,
2019/1/12,278811,145916,0.1677,,,,,,,,,,
2019/1/13,282543,147987,0.1528,,,,,,,,,,
2019/1/14,282520,133044,0.1827,,,,,,,,,,
2019/1/15,293556,137481,0.1776,,,,,,,,,,
2019/1/16,303590,145271,0.1688,,,,,,,,,,
2019/1/17,324303,156429,0.1543,,,,,,,,,,
2019/1/18,343774,169533,0.1364,,,,,,,,,,
2019/1/19,343661,172650,0.1232,,,,,,,,,,
2019/1/20,342141,168009,0.12,,,,,,,,,,
2019/1/21,362012,178160,0.1656,,,,,,,,,,
2019/1/22,372468,179638,0.1333,,,,,,,,,,
2019/1/23,360255,166044,0.1295,,,,,,,,,,
2019/1/24,357018,155067,0.1478,,,,,,,,,,
2019/1/25,341353,134545,0.153,,,,,,,,,,
2019/1/26,356009,155235,0.1389,,,,,,,,,,
2019/1/27,434330,162385.4286,0.141157143,,,,,,,,,,
2019/1/28,331519,112662,0.174,,,,,,,,,,
2019/1/29,310549,89769,0.1826,,,,,,,,,,
2019/1/30,283082,71856,0.2204,,,,,,,,,,
2019/1/31,300390,75980,0.2161,,,,,,,,,,
2019/2/1,319317,71891,0.2126,,,,,,,,,,
2019/2/2,290406,65968,0.2062,,,,,,,,,,
2019/2/3,263659,58332,0.1965,,,,,,,,,,
2019/2/4,250940,50361,0.1903,,,,,,,,,,
2019/2/5,224659,46321,0.202,,,,,,,,,,
2019/2/6,218293,44629,0.2087,,,,,,,,,,
2019/2/7,220911,45061,0.2167,,,,,,,,,,
2019/2/8,231535,46758,0.2156,,,,,,,,,,
