Date,DAU,DNU,retain_rate_1,Old_DAU,
2018/8/1,38497,2243,0.49649,,
2018/8/2,38017,2730,0.48142,,
2018/8/3,40463,2912,0.49849,,
2018/8/4,39430,3081,0.50229,,
2018/8/5,38487,2993,0.47167,,
2018/8/6,40254,2573,0.49687,,
2018/8/7,40152,2598,0.47157,,
2018/8/8,39902,2811,0.5215,,
2018/8/9,40515,3654,0.52973,,
2018/8/10,41007,3294,0.50432,,
2018/8/11,40591,3269,0.51856,,
2018/8/12,41383,3173,0.4817,,
2018/8/13,39142,2645,0.50491,,
2018/8/14,39457,2398,0.48103,,
2018/8/15,40544,2149,0.4727,,
2018/8/16,38982,2267,0.49198,,
2018/8/17,38594,2170,0.46757,,
2018/8/18,39699,2363,0.47858,,
2018/8/19,39388,2255,0.44261,,
2018/8/20,38171,2074,0.46803,,
2018/8/21,37024,1951,0.48117,,
2018/8/22,36277,2025,0.50262,,
2018/8/23,37399,1928,0.48532,,
2018/8/24,37407,2332,0.46297,,
2018/8/25,37108,2431,0.48258,,
2018/8/26,36824,2341,0.44534,,
2018/8/27,35506,1943,0.47417,,
2018/8/28,35418,1837,0.50145,,
2018/8/29,35537,2049,0.48548,,
2018/8/30,36646,2207,0.50761,,
2018/8/31,36692,2033,0.48777,,
2018/9/1,36098,2060,0.48449,,
2018/9/2,36073,3076,0.44984,,
2018/9/3,34688,2379,0.51574,,
2018/9/4,34903,2149,0.49904,,
2018/9/5,34126,2099,0.5298,,
2018/9/6,35180,1862,0.50072,,
2018/9/7,35414,1930,0.48141,,
2018/9/8,35282,2063,0.44667,,
2018/9/9,34719,1933,0.4614,,
2018/9/10,33180,1586,0.51066,,
2018/9/11,34027,1668,0.53742,,
2018/9/12,34365,1688,0.54106,,
2018/9/13,33457,1646,0.56948,,
2018/9/14,36044,1857,0.47273,,
2018/9/15,36060,1860,0.46881,,
2018/9/16,36081,2149,0.45754,,
2018/9/17,36104,3284,0.49971,,
2018/9/18,36761,2616,0.50537,,
2018/9/19,37079,2584,0.50429,,
2018/9/20,37546,2307,0.5001,,
2018/9/21,38307,1820,0.49161,,
2018/9/22,37199,1969,0.45683,,
2018/9/23,37846,1920,0.44454,,
2018/9/24,36380,1539,0.45401,,
2018/9/25,33200,1565,0.50637,,
2018/9/26,35606,2001,0.49155,,
2018/9/27,34323,1796,0.48879,,
2018/9/28,36758,2753,0.48714,,
2018/9/29,36730,3081,0.492,,
2018/9/30,38260,2954,0.48868,,
2018/10/1,36461,2904,0.48059,,
2018/10/2,38159,2929,0.47718,,
2018/10/3,36397,2859,0.48194,,
2018/10/4,37051,2976,0.47707,,
2018/10/5,38135,3206,0.488,,
2018/10/6,38646,3589,0.5038,,
2018/10/7,38531,3854,0.48645,,
2018/10/8,38254,3847,0.54626,,
2018/10/9,42189,4704,0.54185,,
2018/10/10,41427,4626,0.58047,,
2018/10/11,42554,4469,0.54683,,
2018/10/12,45491,4434,0.5512,,
2018/10/13,44785,5411,0.5247,,
2018/10/14,47983,5259,0.48594,,
2018/10/15,45724,5003,0.54343,,
2018/10/16,50814,6953,0.56575,,
2018/10/17,51726,6780,0.5864,,
2018/10/18,52912,6640,0.5824,,
2018/10/19,57644,10350,0.5537,,
2018/10/20,56460,9132,0.5715,,
2018/10/21,59853,9167,0.4945,,
2018/10/22,58193,7363,0.53963,,
2018/10/23,60148,7226,0.54233,,
2018/10/24,60442,8397,0.56107,,
2018/10/25,62467,8367,0.55143,,
2018/10/26,64660,9366,0.56867,,
2018/10/27,67397,10780,0.5202,,
2018/10/28,68797,11783,0.4973,,
2018/10/29,69092,8345,0.5455,,
2018/10/30,71099,7433,0.5085,,
2018/10/31,69688,7253,0.5193,,
2018/11/1,70360,8723,0.5265,,
2018/11/2,73297,9864,0.5401,,
2018/11/3,75527,10566,0.5583,,
2018/11/4,77600,10504,0.5363,,
2018/11/5,74101,8162,0.5336,,
2018/11/6,76414,7788,0.5584,,
2018/11/7,74927,8838,0.5883,,
2018/11/8,76643,9127,0.5526,,
2018/11/9,77893,9072,0.5045,,
2018/11/10,82468,9558,0.526,,
2018/11/11,82345,9516,0.4893,,
2018/11/12,82069,8710,0.5504,,
2018/11/13,85558,8433,0.5225,,
2018/11/14,86241,8934,0.5486,,
2018/11/15,87093,9631,0.5552,,
2018/11/16,88610,10222,0.5316,,
2018/11/17,93673,11564,0.5313,,
2018/11/18,94687,11154,0.5326,,
2018/11/19,93902,11570,0.5593,,
2018/11/20,98568,10292,0.538,,
2018/11/21,98196,9198,0.551,,
2018/11/22,97316,8838,0.5618,,
2018/11/23,94438,8011,0.5276,,
2018/11/24,92754,9092,0.5009,,
2018/11/25,97875,9916,0.5114,,
2018/11/26,93214,8903,0.5729,,
2018/11/27,97120,8929,0.5358,,
2018/11/28,98264,10140,0.5507,,
2018/11/29,99074,11069,0.5152,,
2018/11/30,101021,12779,0.5135,,
2018/12/1,110475,15246,0.4889,,
2018/12/2,114238,16166,0.5056,,
2018/12/3,113226,14714,0.5166,,
2018/12/4,112518,11102,0.5126,,
2018/12/5,110088,10352,0.5155,,
2018/12/6,112673,11066,0.5156,,
2018/12/7,113672,12531,0.5173,,
2018/12/8,116086,15129,0.5047,,
2018/12/9,120269,17358,0.4884,,
2018/12/10,121221,16224,0.5181,,
2018/12/11,122177,13730,0.5364,,
2018/12/12,117187,10935,0.5372,,
2018/12/13,120542,12442,0.516,,
2018/12/14,120096,11545,0.5397,,
2018/12/15,122213,12893,0.5404,,
2018/12/16,120068,12683,0.5235,,
2018/12/17,121213,11688,0.5476,,
2018/12/18,122074,11216,0.548,,
2018/12/19,120639,9845,0.5381,,
2018/12/20,121890,9688,0.5648,,
2018/12/21,121202,9820,0.5732,,
2018/12/22,122323,12349,0.5271,,
2018/12/23,126590,13835,0.4981,,
2018/12/24,123396,15750,0.5015,,
2018/12/25,124709,14637,0.52524,,
2018/12/26,133700,14115,0.52563,,
2018/12/27,140435,15757,0.53867,,
2018/12/28,135137,15030,0.50788,,
2018/12/29,148707,18892,0.53418,,
2018/12/30,157051,21749,0.49091,,
2018/12/31,160489,21108,0.51631,,
2019/1/1,160684,25768,0.51068,,
2019/1/2,173204,31450,0.54333,,
2019/1/3,186599,35392,0.54925,,
2019/1/4,205789,37314,0.52803,,
2019/1/5,224677,42167,0.51068,,
2019/1/6,224409,37980,0.48917,,
2019/1/7,213907,27141,0.49676,,
2019/1/8,219655,24592,0.51789,,
2019/1/9,225479,36490,0.55333,,
2019/1/10,262758,45140,0.50209,,
2019/1/11,298604,45139,0.48675,,
2019/1/12,303953,52994,0.49975,,
2019/1/13,311478,53035,0.45602,,
2019/1/14,295237,38259,0.49074,,
2019/1/15,276753,31378,0.48598,,
2019/1/16,274617,27143,0.47676,,
2019/1/17,268850,23667,0.47637,,
2019/1/18,264475,24603,0.47917,,
2019/1/19,267572,29547,0.4755,,
2019/1/20,276368,35309,0.45443,,
2019/1/21,268016,36969,0.4762,,
2019/1/22,271624,38112,0.49162,,
2019/1/23,283315,36753,0.46257,,
2019/1/24,274659,28687,0.46613,,
2019/1/25,274281,25213,0.44111,,
2019/1/26,279813,32900,0.46908,,
2019/1/27,275075,33120,0.45527,,
2019/1/28,265287,26667,0.45546,,
2019/1/29,271440,22669,0.45888,,
2019/1/30,262463,20410,0.46193,,
2019/1/31,257111,20943,0.43609,,
2019/2/1,251079,20846,0.45428,,
2019/2/2,251736,22534,0.43888,,
2019/2/3,263078,23607,0.43397,,
2019/2/4,247617,19676,0.44617,,
2019/2/5,242466,18388,0.45501,,
2019/2/6,240055,18667,0.43929,,
2019/2/7,245686,18529,0.45314,,
2019/2/8,234073,18843,0.42401,,
2019/2/9,238636,19040,0.43335,,
2019/2/10,242934,19479,0.42297,,
2019/2/11,227637,14588,0.44551,,
2019/2/12,227769,19081,0.47176,,
2019/2/13,230619,19448,0.43638,,
2019/2/14,217010,17687,0.45055,,
2019/2/15,225804,19329,0.43628,,
2019/2/16,232229,21414,0.42492,,
2019/2/17,230529,21969,0.43545,,
2019/2/18,236415,21462,0.44139,,
2019/2/19,237681,20112,0.4515,,
2019/2/20,253805,42118,0.45472,,20000
2019/2/21,273465,41325,0.45198,,20000
2019/2/22,266857,39566,0.43973,,20000
2019/2/23,260265,22390,0.44965,,
2019/2/24,262683,23226,0.44009,,
2019/2/25,257551,19825,0.45549,,
2019/2/26,262801,21087,0.47189,,
2019/2/27,249935,22380,0.45443,,
2019/2/28,261745,19178,0.4592,,
2019/3/1,247670,19058,0.4852,,
2019/3/2,257458,21047,0.48768,,
2019/3/3,255154,21562,0.48768,,
2019/3/4,259698,29681,0.48768,,
