Date,DAU,DNU,retain_rate_1,Old_DAU
2018/11/1,54006,8480,0.440 ,45526
2018/11/2,62012,8704,0.439 ,
2018/11/3,70226,12324,0.464 ,
2018/11/4,82710,17372,0.423 ,
2018/11/5,78599,11168,0.464 ,
2018/11/6,76271,8364,0.465 ,
2018/11/7,77154,8493,0.472 ,
2018/11/8,75958,6777,0.465 ,
2018/11/9,74722,5635,0.459 ,
2018/11/10,76785,7919,0.458 ,
2018/11/11,82334,11526,0.442 ,
2018/11/12,82248,9246,0.428 ,
2018/11/13,82454,10130,0.459 ,
2018/11/14,81087,8166,0.458 ,
2018/11/15,80462,7195,0.449 ,
2018/11/16,78648,6096,0.455 ,
2018/11/17,80605,7602,0.452 ,
2018/11/18,83931,9305,0.442 ,
2018/11/19,80763,6707,0.456 ,
2018/11/20,80438,6546,0.466 ,
2018/11/21,80147,7311,0.465 ,
2018/11/22,78803,7067,0.471 ,
2018/11/23,82424,9960,0.456 ,
2018/11/24,86886,11692,0.460 ,
2018/11/25,98429,20108,0.425 ,
2018/11/26,92178,11629,0.435 ,
2018/11/27,89997,10430,0.462 ,
2018/11/28,89440,9795,0.449 ,
2018/11/29,87312,8059,0.456 ,
2018/11/30,86832,8286,0.464 ,
2018/12/1,94111,14634,0.449 ,
2018/12/2,105088,21635,0.429 ,
2018/12/3,106555,20370,0.447 ,
2018/12/4,102685,14214,0.466 ,
2018/12/5,98276,9684,0.466 ,
2018/12/6,96039,8802,0.468 ,
2018/12/7,95024,8955,0.466 ,
2018/12/8,100971,13579,0.460 ,
2018/12/9,105104,14189,0.442 ,
2018/12/10,102394,12361,0.474 ,
2018/12/11,100308,10744,0.482 ,
2018/12/12,100821,10916,0.472 ,
2018/12/13,98933,8822,0.483 ,
2018/12/14,96540,7389,0.450 ,
2018/12/15,98916,10251,0.455 ,
2018/12/16,103006,12560,0.417 ,
2018/12/17,96819,8532,0.461 ,
2018/12/18,92705,8692,0.496 ,
2018/12/19,97112,10158,0.475 ,
2018/12/20,99883,10775,0.458 ,
2018/12/21,100622,11012,0.460 ,
2018/12/22,106836,16603,0.461 ,
2018/12/23,116122,21778,0.440 ,
2018/12/24,119678,23856,0.430 ,
2018/12/25,116517,19349,0.433 ,
2018/12/26,123259,21758,0.471 ,
2018/12/27,138881,31561,0.476 ,
2018/12/28,145882,30072,0.465 ,
2018/12/29,148315,28062,0.454 ,
2018/12/30,153839,28833,0.432 ,
2018/12/31,142790,20010,0.452 ,
