Date,DAU,DNU,retain_rate_1,Old_DAU
2018/11/1,8480,8480,0.4401 ,
2018/11/2,12438,8704,0.4390 ,
2018/11/3,18591,12324,0.4637 ,
2018/11/4,27652,17372,0.4226 ,
2018/11/5,25558,11168,0.4639 ,
2018/11/6,24080,8364,0.4653 ,
2018/11/7,24819,8493,0.4724 ,
2018/11/8,24183,6777,0.4654 ,
2018/11/9,23112,5635,0.4593 ,
2018/11/10,25650,7919,0.4575 ,
2018/11/11,30586,11526,0.4415 ,
2018/11/12,30470,9246,0.4278 ,
2018/11/13,31746,10130,0.4589 ,
2018/11/14,31228,8166,0.4579 ,
2018/11/15,30835,7195,0.4491 ,
2018/11/16,29631,6096,0.4552 ,
2018/11/17,31325,7602,0.4520 ,
2018/11/18,34128,9305,0.4416 ,
2018/11/19,32185,6707,0.4562 ,
2018/11/20,31937,6546,0.4661 ,
2018/11/21,32976,7311,0.4653 ,
2018/11/22,33215,7067,0.4711 ,
2018/11/23,36472,9960,0.4563 ,
2018/11/24,40190,11692,0.4598 ,
2018/11/25,51008,20108,0.4252 ,
2018/11/26,46054,11629,0.4349 ,
2018/11/27,44356,10430,0.4620 ,
2018/11/28,44133,9795,0.4492 ,
2018/11/29,42535,8059,0.4556 ,
2018/11/30,42872,8286,0.4637 ,
2018/12/1,50067,14634,0.4493 ,
2018/12/2,60402,21635,0.4290 ,
2018/12/3,62801,20370,0.4467 ,
2018/12/4,59433,14214,0.4662 ,
2018/12/5,55312,9684,0.4655 ,
2018/12/6,53034,8802,0.4684 ,
2018/12/7,52698,8955,0.4657 ,
2018/12/8,58035,13579,0.4602 ,
2018/12/9,61475,14189,0.4420 ,
2018/12/10,59650,12361,0.4735 ,
2018/12/11,58290,10744,0.4817 ,
2018/12/12,58741,10916,0.4717 ,
2018/12/13,56964,8822,0.4828 ,
2018/12/14,55102,7389,0.4503 ,
2018/12/15,57429,10251,0.4547 ,
2018/12/16,61157,12560,0.4171 ,
2018/12/17,56482,8532,0.4614 ,
2018/12/18,54416,8692,0.4961 ,
2018/12/19,57712,10158,0.4752 ,
2018/12/20,59805,10775,0.4579 ,
2018/12/21,60661,11012,0.4597 ,
2018/12/22,66993,16603,0.4612 ,
2018/12/23,76126,21778,0.4401 ,
2018/12/24,80968,23856,0.4297 ,
2018/12/25,78355,19349,0.4326 ,
2018/12/26,83144,21758,0.4713 ,
2018/12/27,97547,31561,0.4756 ,
2018/12/28,103740,30072,0.4646 ,
2018/12/29,106236,28062,0.4542 ,
2018/12/30,111239,28833,0.4320 ,
2018/12/31,102187,20010,0.4521 ,
2019/1/1,119233,34866,0.4278 ,
2019/1/2,114012,24634,0.4545 ,
2019/1/3,105630,16068,0.4424 ,
2019/1/4,99446,13280,0.4422 ,
2019/1/5,100270,15272,0.4402 ,
2019/1/6,108360,23095,0.4171 ,
2019/1/7,100132,14911,0.4346 ,
2019/1/8,95152,12387,0.4436 ,
2019/1/9,92998,12450,0.4368 ,
2019/1/10,88647,9467,0.4425 ,
2019/1/11,87266,9864,0.4337 ,
2019/1/12,95755,17170,0.4206 ,
2019/1/13,102472,20993,0.3981 ,
2019/1/14,93465,12466,0.4334 ,
2019/1/15,88600,9245,0.4424 ,
2019/1/16,84747,7305,0.4319 ,
2019/1/17,82739,7083,0.4101 ,
2019/1/18,80017,8190,0.3573 ,
2019/1/19,85778,14374,0.3422 ,
2019/1/20,93554,19623,0.3227 ,
2019/1/21,89410,15549,0.3230 ,
2019/1/22,81752,9072,0.3510 ,
2019/1/23,79374,8164,0.3590 ,
2019/1/24,78751,8333,0.3587 ,
2019/1/25,76569,8106,0.3570 ,
2019/1/26,80501,11217,0.3525 ,
2019/1/27,85316,13709,0.3341 ,
2019/1/28,80869,10506,0.3501 ,
2019/1/29,79814,9660,0.3468 ,
2019/1/30,79923,9757,0.3508 ,
2019/1/31,78769,9524,0.3331 ,
2019/2/1,75996,8408,0.3360 ,
2019/2/2,79024,10675,0.3386 ,
2019/2/3,80749,11780,0.3098 ,
2019/2/4,77215,9442,0.3385 ,
